--__BabyPushEndFlag__--
[sudo] password for ling: [37;42m Snapped! [0m

Connection to 62.210.180.179 closed.
receiving file list ... 
1 file to consider
saugrenue.2014-11-26.zip
           0   0%    0.00kB/s    0:00:00
      851968   0%  827.86kB/s    0:03:53
     1933312   0%  940.24kB/s    0:03:24
     3014656   1%  977.75kB/s    0:03:15
     4096000   2%  996.51kB/s    0:03:10
     5177344   2%    1.03MB/s    0:02:59
     6225920   3%  975.79kB/s    0:03:12
     7307264   3%  970.37kB/s    0:03:12
     8060928   4%  889.09kB/s    0:03:28
     9469952   4%  956.86kB/s    0:03:12
    10551296   5%    1.01MB/s    0:02:57
    11632640   6%    1.01MB/s    0:02:55
    12697594   6%    1.09MB/s    0:02:41
    13778938   7%    1.02MB/s    0:02:51
    14860282   7%    1.02MB/s    0:02:50
    15941626   8%    1.02MB/s    0:02:49
    17022970   8%    1.03MB/s    0:02:47
    18104314   9%    1.03MB/s    0:02:46
    19185658   9%    1.03MB/s    0:02:45
    20267002  10%    1.03MB/s    0:02:44
    21348346  11%    1.03MB/s    0:02:43
    22429690  11%    1.03MB/s    0:02:42
    23511034  12%    1.03MB/s    0:02:41
    24592378  12%    1.03MB/s    0:02:40
    25657344  13%    1.02MB/s    0:02:40
    26738688  13%    1.02MB/s    0:02:39
    27623424  14%  977.84kB/s    0:02:49
    28737536  14%  977.54kB/s    0:02:48
    29835258  15%  982.18kB/s    0:02:46
    30949370  15%  987.04kB/s    0:02:45
    32014336  16%    1.03MB/s    0:02:33
    33095680  17%    1.03MB/s    0:02:32
    34209792  17%    1.03MB/s    0:02:31
    35323904  18%    1.03MB/s    0:02:31
    36323322  18%    1.01MB/s    0:02:32
    37191680  19%  935.89kB/s    0:02:47
    38043648  19%  882.81kB/s    0:02:56
    39616512  20%  984.50kB/s    0:02:36
    40763392  21% 1001.39kB/s    0:02:32
    41844736  21%    1.08MB/s    0:02:17
    42926080  22%    1.12MB/s    0:02:11
    44138496  22%    1.04MB/s    0:02:21
    45252608  23%    1.04MB/s    0:02:18
    46333952  23%    1.04MB/s    0:02:17
    47415296  24%    1.06MB/s    0:02:15
    48496640  25%    1.03MB/s    0:02:17
    49577984  25%    1.03MB/s    0:02:16
    50642938  26%    1.02MB/s    0:02:16
    51724282  26%    1.02MB/s    0:02:15
    52805626  27%    1.02MB/s    0:02:14
    53886970  27%    1.02MB/s    0:02:13
    54968314  28%    1.03MB/s    0:02:11
    56049658  28%    1.03MB/s    0:02:10
    57131002  29%    1.03MB/s    0:02:09
    58212346  30%    1.03MB/s    0:02:08
    59293690  30%    1.03MB/s    0:02:07
    60080122  30%  933.81kB/s    0:02:23
    61620218  31%    1.01MB/s    0:02:07
    62701562  32%    1.01MB/s    0:02:06
    63782906  32%    1.01MB/s    0:02:05
    64864250  33%    1.13MB/s    0:01:51
    65945594  34%    1.02MB/s    0:02:01
    67026938  34%    1.02MB/s    0:02:01
    68108282  35%    1.03MB/s    0:01:59
    69189626  35%    1.03MB/s    0:01:58
    70270970  36%    1.03MB/s    0:01:57
    71352314  36%    1.03MB/s    0:01:56
    72417280  37%    1.02MB/s    0:01:55
    73498624  37%    1.02MB/s    0:01:54
    74579968  38%    1.02MB/s    0:01:53
    75202560  38%  928.86kB/s    0:02:07
    76709888  39%    1.01MB/s    0:01:53
    77807610  40%    1.02MB/s    0:01:51
    78872576  40%    1.01MB/s    0:01:51
    79953920  41%    1.13MB/s    0:01:38
    81035264  41%    1.03MB/s    0:01:47
    82116608  42%    1.02MB/s    0:01:46
    83197952  42%    1.03MB/s    0:01:45
    84262906  43%    1.02MB/s    0:01:44
    85344250  44%    1.02MB/s    0:01:43
    86425594  44%    1.02MB/s    0:01:42
    87506938  45%    1.02MB/s    0:01:41
    88588282  45%    1.03MB/s    0:01:39
    89669626  46%    1.03MB/s    0:01:38
    90750970  46%    1.03MB/s    0:01:37
    91832314  47%    1.03MB/s    0:01:36
    92913658  47%    1.03MB/s    0:01:35
    93995002  48%    1.03MB/s    0:01:34
    95076346  49%    1.03MB/s    0:01:33
    96157690  49%    1.03MB/s    0:01:32
    97222656  50%    1.02MB/s    0:01:32
    98304000  50%    1.02MB/s    0:01:31
    99385344  51%    1.02MB/s    0:01:30
   100466688  51%    1.02MB/s    0:01:28
   101548032  52%    1.03MB/s    0:01:27
   102629376  52%    1.03MB/s    0:01:26
   103710720  53%    1.03MB/s    0:01:25
   104792064  54%    1.03MB/s    0:01:24
   105873408  54%    1.03MB/s    0:01:23
   106954752  55%    1.03MB/s    0:01:22
   108036096  55%    1.03MB/s    0:01:21
   109117440  56%    1.03MB/s    0:01:20
   110182394  56%    1.02MB/s    0:01:19
   111263738  57%    1.02MB/s    0:01:18
   112345082  57%  949.67kB/s    0:01:25
   113885178  58%    1.02MB/s    0:01:16
   114966522  59%    1.03MB/s    0:01:14
   116047866  59%    1.03MB/s    0:01:13
   117129210  60%    1.13MB/s    0:01:05
   118210554  60%    1.03MB/s    0:01:11
   119291898  61%    1.03MB/s    0:01:10
   120373242  62%    1.03MB/s    0:01:09
   121454586  62%    1.03MB/s    0:01:08
   122519552  63%    1.02MB/s    0:01:07
   123600896  63%    1.02MB/s    0:01:06
   124682240  64%    1.02MB/s    0:01:05
   125763584  64%    1.02MB/s    0:01:04
   126877696  65%    1.03MB/s    0:01:03
   127959040  66%    1.03MB/s    0:01:02
   129040384  66%    1.03MB/s    0:01:01
   130121728  67%    1.03MB/s    0:01:00
   131203072  67%    1.03MB/s    0:00:59
   132284416  68%    1.03MB/s    0:00:58
   133365760  68%    1.03MB/s    0:00:57
   134430714  69%    1.02MB/s    0:00:56
   135512058  69%    1.02MB/s    0:00:55
   136593402  70%    1.02MB/s    0:00:54
   137674746  71%    1.02MB/s    0:00:53
   138756090  71%    1.03MB/s    0:00:52
   139837434  72%    1.03MB/s    0:00:51
   140918778  72%    1.03MB/s    0:00:50
   142000122  73%    1.03MB/s    0:00:49
   143081466  73%    1.03MB/s    0:00:48
   144162810  74%    1.03MB/s    0:00:47
   145244154  74%    1.03MB/s    0:00:46
   146325498  75%    1.03MB/s    0:00:45
   147390464  76%    1.02MB/s    0:00:44
   148471808  76%    1.02MB/s    0:00:43
   149553152  77%    1.02MB/s    0:00:42
   150634496  77%    1.02MB/s    0:00:41
   151715840  78%    1.03MB/s    0:00:39
   152797184  78%    1.03MB/s    0:00:38
   153878528  79%    1.03MB/s    0:00:37
   154959872  79%    1.03MB/s    0:00:36
   156041216  80%    1.03MB/s    0:00:35
   157122560  81%    1.03MB/s    0:00:34
   158203904  81%    1.03MB/s    0:00:33
   159268858  82%    1.02MB/s    0:00:32
   160350202  82%    1.02MB/s    0:00:31
   161398778  83%    1.02MB/s    0:00:31
   162480122  83%    1.01MB/s    0:00:30
   163577856  84%    1.02MB/s    0:00:28
   164659200  84%    1.02MB/s    0:00:28
   165740544  85%    1.02MB/s    0:00:26
   166821888  86%    1.03MB/s    0:00:25
   167903232  86%    1.02MB/s    0:00:24
   168984576  87%    1.03MB/s    0:00:23
   170065920  87%    1.03MB/s    0:00:22
   171147264  88%    1.03MB/s    0:00:21
   172212218  88%    1.00MB/s    0:00:21
   173195258  89%  938.81kB/s    0:00:21
   174702586  90%    1.01MB/s    0:00:18
   175800320  90%    1.01MB/s    0:00:17
   176865274  91%    1.03MB/s    0:00:16
   177946618  91%    1.13MB/s    0:00:13
   179027962  92%    1.03MB/s    0:00:14
   180109306  92%    1.02MB/s    0:00:13
   181190650  93%    1.03MB/s    0:00:12
   182271994  94%    1.03MB/s    0:00:10
   183353338  94%    1.03MB/s    0:00:09
   184418304  95%    1.02MB/s    0:00:08
   185270272  95%  934.77kB/s    0:00:09
   186810368  96%    1.01MB/s    0:00:06
   187908090  96%    1.01MB/s    0:00:05
   188973056  97%    1.01MB/s    0:00:04
   190054400  98%    1.13MB/s    0:00:03
   191135744  98%    1.03MB/s    0:00:02
   192217088  99%    1.02MB/s    0:00:01
   193298432  99%    1.03MB/s    0:00:00
   193830271 100%    1.02MB/s    0:03:01 (xfer#1, to-check=0/1)

sent 81 bytes  received 193895446 bytes  1062441.24 bytes/sec
total size is 193830271  speedup is 1.00
